Provincia,Partido,Localidad,Link Indec,Velocidad (Mbps),Accesos
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,0.0,1.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,0.5,2.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,0.75,19.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,3.0,85.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,3.5,145.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,6.0,76.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,8.0,299.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,10.0,288.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,15.0,415.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,20.0,1796.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,25.0,144.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,30.0,1501.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,40.0,27.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,50.0,647.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,80.0,9.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,100.0,693.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,300.0,95.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,500.0,3.0
BUENOS AIRES,25 DE MAYO,AGUSTÍN MOSCONI,6854010,10.0,59.0
BUENOS AIRES,25 DE MAYO,AGUSTÍN MOSCONI,6854010,20.0,5.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,6854020,0.5,1.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,6854020,3.0,181.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,6854020,10.0,10.0
BUENOS AIRES,25 DE MAYO,ERNESTINA,6854030,5.0,75.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,2.0,106.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,3.0,3.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,4.0,56.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,5.0,7.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,6.0,3.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,8.0,4.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,10.0,1.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,65.0,1.0
BUENOS AIRES,25 DE MAYO,LUCAS MONTEVERDE,6854050,3.0,5.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,2.0,174.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,3.0,32.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,4.0,9.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,5.0,8.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,6.0,914.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,10.0,2.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,15.0,322.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,25.0,29.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,50.0,20.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,6.0,2.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,10.0,177.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,15.0,3.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,50.0,25.0
BUENOS AIRES,25 DE MAYO,SAN ENRIQUE,6854080,20.0,11.0
BUENOS AIRES,25 DE MAYO,VALDÉS,6854090,10.0,245.0
BUENOS AIRES,25 DE MAYO,VALDÉS,6854090,20.0,18.0
BUENOS AIRES,9 DE JULIO,12 DE OCTUBRE,6588030,3.0,11.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,0.75,9.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,3.0,198.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,3.5,114.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,5.0,154.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,6.0,4824.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,7.0,235.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,8.0,98.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,10.0,2669.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,15.0,1239.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,20.0,1144.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,30.0,362.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,50.0,631.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,100.0,1843.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,300.0,1068.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,500.0,33.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,1000.0,14.0
BUENOS AIRES,9 DE JULIO,ALFREDO DEMARCHI  (EST. FACUNDO QUIROGA),6588010,3.0,510.0
BUENOS AIRES,9 DE JULIO,DUDIGNAC,6588040,1.0,8.0
BUENOS AIRES,9 DE JULIO,DUDIGNAC,6588040,3.0,36.0
BUENOS AIRES,9 DE JULIO,DUDIGNAC,6588040,4.0,247.0
BUENOS AIRES,9 DE JULIO,DUDIGNAC,6588040,6.0,46.0
BUENOS AIRES,9 DE JULIO,DUDIGNAC,6588040,10.0,52.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),6588060,1.0,1.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),6588060,2.0,193.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),6588060,6.0,1.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),6588060,10.0,2.0
BUENOS AIRES,9 DE JULIO,MOREA,6588080,3.0,130.0
