Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,25 DE MAYO,25 DE MAYO,ADSL,6854100,755.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,CABLEMODEM,6854100,4600.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,FIBRA OPTICA,6854100,2.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,SATELITAL,6854100,742.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,WIRELESS,6854100,727.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,ADSL,6854020,181.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,Otros,6854020,10.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,SATELITAL,6854020,1.0
BUENOS AIRES,25 DE MAYO,ERNESTINA,ADSL,6854030,75.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,WIRELESS,6854040,181.0
BUENOS AIRES,25 DE MAYO,LUCAS MONTEVERDE,WIRELESS,6854050,6.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,CABLEMODEM,6854060,782.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,FIBRA OPTICA,6854060,496.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,Otros,6854060,16.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,WIRELESS,6854060,185.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,ADSL,6854070,154.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,FIBRA OPTICA,6854070,25.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,Otros,6854070,21.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,WIRELESS,6854070,7.0
BUENOS AIRES,9 DE JULIO,12 DE OCTUBRE,WIRELESS,6588030,19.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,ADSL,6588100,4241.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,CABLEMODEM,6588100,3463.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,DIAL UP,6588100,80.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,FIBRA OPTICA,6588100,6238.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,WIRELESS,6588100,831.0
BUENOS AIRES,9 DE JULIO,ALFREDO DEMARCHI  (EST. FACUNDO QUIROGA),ADSL,6588010,450.0
BUENOS AIRES,9 DE JULIO,ALFREDO DEMARCHI  (EST. FACUNDO QUIROGA),Otros,6588010,60.0
BUENOS AIRES,9 DE JULIO,DUDIGNAC,WIRELESS,6588040,474.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),ADSL,6588060,193.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),FIBRA OPTICA,6588060,2.0
BUENOS AIRES,9 DE JULIO,MANUEL B. GONNET  (EST. FRENCH),Otros,6588060,2.0
BUENOS AIRES,9 DE JULIO,MOREA,WIRELESS,6588080,130.0
BUENOS AIRES,9 DE JULIO,PATRICIOS,ADSL,6588110,81.0
BUENOS AIRES,9 DE JULIO,PATRICIOS,WIRELESS,6588110,50.0
BUENOS AIRES,9 DE JULIO,VILLA GENERAL FOURNIER  (EST. 9 DE JULIO SUD),FIBRA OPTICA,6588120,118.0
