Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Trimestre_Label
2024-01-01,2,BUENOS AIRES,4983480,5900.0,4989380,Q2
2024-01-01,2,BUENOS AIRES,1461549,2050.0,1463599,Q2
2024-01-01,2,CATAMARCA,75073,1.0,75074,Q2
2024-01-01,2,CHACO,147087,5.0,147092,Q2
2024-01-01,2,CHUBUT,173366,857.0,174223,Q2
2024-01-01,2,CÓRDOBA,1085711,63.0,1085774,Q2
2024-01-01,2,CORRIENTES,156472,3.0,156475,Q2
2024-01-01,2,ENTRE RÍOS,294291,20.0,294311,Q2
2024-01-01,2,FORMOSA,62950,0.0,62950,Q2
2024-01-01,2,JUJUY,119684,0.0,119684,Q2
2024-01-01,2,LA PAMPA,123101,162.0,123263,Q2
2024-01-01,2,LA RIOJA,87477,4.0,87481,Q2
2024-01-01,2,MENDOZA,300923,730.0,301653,Q2
2024-01-01,2,MISIONES,206554,0.0,206554,Q2
2024-01-01,2,NEUQUÉN,163103,439.0,163542,Q2
2024-01-01,2,RÍO NEGRO,171526,515.0,172041,Q2
2024-01-01,2,SALTA,201336,5.0,201341,Q2
2024-01-01,2,SAN JUAN,105743,247.0,105990,Q2
2024-01-01,2,SAN LUIS,157444,165.0,157609,Q2
2024-01-01,2,SANTA CRUZ,83274,187.0,83461,Q2
2024-01-01,2,SANTA FE,930867,106.0,930973,Q2
2024-01-01,2,SANTIAGO DEL ESTERO,125312,2.0,125314,Q2
2024-01-01,2,TIERRA DEL FUEGO,61104,305.0,61409,Q2
2024-01-01,2,TUCUMÁN,266887,27.0,266914,Q2
2024-01-01,1,BUENOS AIRES,5038657,5900.0,5044557,Q1
2024-01-01,1,BUENOS AIRES,1502661,2050.0,1504711,Q1
2024-01-01,1,CATAMARCA,74932,1.0,74933,Q1
2024-01-01,1,CHACO,155538,5.0,155543,Q1
2024-01-01,1,CHUBUT,169819,857.0,170676,Q1
2024-01-01,1,CÓRDOBA,1082136,63.0,1082199,Q1
2024-01-01,1,CORRIENTES,157891,3.0,157894,Q1
2024-01-01,1,ENTRE RÍOS,296532,20.0,296552,Q1
2024-01-01,1,FORMOSA,62718,0.0,62718,Q1
2024-01-01,1,JUJUY,118053,0.0,118053,Q1
2024-01-01,1,LA PAMPA,122033,162.0,122195,Q1
2024-01-01,1,LA RIOJA,87778,4.0,87782,Q1
2024-01-01,1,MENDOZA,301867,730.0,302597,Q1
2024-01-01,1,MISIONES,202556,0.0,202556,Q1
2024-01-01,1,NEUQUÉN,163807,439.0,164246,Q1
2024-01-01,1,RÍO NEGRO,170504,515.0,171019,Q1
2024-01-01,1,SALTA,202856,5.0,202861,Q1
2024-01-01,1,SAN JUAN,106419,247.0,106666,Q1
2024-01-01,1,SAN LUIS,155925,165.0,156090,Q1
2024-01-01,1,SANTA CRUZ,80021,187.0,80208,Q1
2024-01-01,1,SANTA FE,918482,106.0,918588,Q1
