Año,Trimestre,Provincia,Accesos por cada 100 hogares,Trimestre_Label
2024-01-01,2,BUENOS AIRES,79.84,Q2
2024-01-01,2,BUENOS AIRES,116.37,Q2
2024-01-01,2,CATAMARCA,68.81,Q2
2024-01-01,2,CHACO,44.06,Q2
2024-01-01,2,CHUBUT,86.33,Q2
2024-01-01,2,CÓRDOBA,90.79,Q2
2024-01-01,2,CORRIENTES,51.38,Q2
2024-01-01,2,ENTRE RÍOS,68.64,Q2
2024-01-01,2,FORMOSA,39.69,Q2
2024-01-01,2,JUJUY,58.3,Q2
2024-01-01,2,LA PAMPA,101.17,Q2
2024-01-01,2,LA RIOJA,79.52,Q2
2024-01-01,2,MENDOZA,52.3,Q2
2024-01-01,2,MISIONES,57.73,Q2
2024-01-01,2,NEUQUÉN,78.93,Q2
2024-01-01,2,RÍO NEGRO,71.35,Q2
2024-01-01,2,SALTA,55.72,Q2
2024-01-01,2,SAN JUAN,51.17,Q2
2024-01-01,2,SAN LUIS,103.4,Q2
2024-01-01,2,SANTA CRUZ,69.92,Q2
2024-01-01,2,SANTA FE,81.34,Q2
2024-01-01,2,SANTIAGO DEL ESTERO,49.67,Q2
2024-01-01,2,TIERRA DEL FUEGO,108.89,Q2
2024-01-01,2,TUCUMÁN,60.84,Q2
2024-01-01,1,BUENOS AIRES,81.1,Q1
2024-01-01,1,BUENOS AIRES,119.53,Q1
2024-01-01,1,CATAMARCA,68.82,Q1
2024-01-01,1,CHACO,46.7,Q1
2024-01-01,1,CHUBUT,84.89,Q1
2024-01-01,1,CÓRDOBA,90.7,Q1
2024-01-01,1,CORRIENTES,51.94,Q1
2024-01-01,1,ENTRE RÍOS,69.31,Q1
2024-01-01,1,FORMOSA,39.61,Q1
2024-01-01,1,JUJUY,57.65,Q1
2024-01-01,1,LA PAMPA,100.49,Q1
2024-01-01,1,LA RIOJA,80.03,Q1
2024-01-01,1,MENDOZA,52.59,Q1
2024-01-01,1,MISIONES,56.76,Q1
2024-01-01,1,NEUQUÉN,79.5,Q1
2024-01-01,1,RÍO NEGRO,71.14,Q1
2024-01-01,1,SALTA,56.3,Q1
2024-01-01,1,SAN JUAN,51.62,Q1
2024-01-01,1,SAN LUIS,102.7,Q1
2024-01-01,1,SANTA CRUZ,67.58,Q1
2024-01-01,1,SANTA FE,80.4,Q1
2024-01-01,1,SANTIAGO DEL ESTERO,49.41,Q1
2024-01-01,1,TIERRA DEL FUEGO,109.78,Q1
2024-01-01,1,TUCUMÁN,60.48,Q1
2023-01-01,4,BUENOS AIRES,80.96,Q4
2023-01-01,4,BUENOS AIRES,117.02,Q4
2023-01-01,4,CATAMARCA,68.63,Q4
2023-01-01,4,CHACO,44.35,Q4
2023-01-01,4,CHUBUT,84.96,Q4
2023-01-01,4,CÓRDOBA,90.67,Q4
2023-01-01,4,CORRIENTES,52.56,Q4
2023-01-01,4,ENTRE RÍOS,69.94,Q4
2023-01-01,4,FORMOSA,39.23,Q4
2023-01-01,4,JUJUY,57.78,Q4
2023-01-01,4,LA PAMPA,99.96,Q4
2023-01-01,4,LA RIOJA,80.22,Q4
2023-01-01,4,MENDOZA,52.15,Q4
2023-01-01,4,MISIONES,56.27,Q4
2023-01-01,4,NEUQUÉN,79.91,Q4
2023-01-01,4,RÍO NEGRO,70.26,Q4
2023-01-01,4,SALTA,56.98,Q4
2023-01-01,4,SAN JUAN,50.08,Q4
2023-01-01,4,SAN LUIS,102.07,Q4
2023-01-01,4,SANTA CRUZ,73.75,Q4
2023-01-01,4,SANTA FE,79.75,Q4
2023-01-01,4,SANTIAGO DEL ESTERO,49.08,Q4
2023-01-01,4,TIERRA DEL FUEGO,110.49,Q4
2023-01-01,4,TUCUMÁN,61.04,Q4
2023-01-01,3,BUENOS AIRES,80.64,Q3
2023-01-01,3,BUENOS AIRES,116.4,Q3
2023-01-01,3,CATAMARCA,68.55,Q3
2023-01-01,3,CHACO,42.87,Q3
2023-01-01,3,CHUBUT,84.23,Q3
2023-01-01,3,CÓRDOBA,90.05,Q3
2023-01-01,3,CORRIENTES,52.78,Q3
2023-01-01,3,ENTRE RÍOS,68.84,Q3
2023-01-01,3,FORMOSA,38.86,Q3
2023-01-01,3,JUJUY,57.61,Q3
2023-01-01,3,LA PAMPA,99.0,Q3
2023-01-01,3,LA RIOJA,80.44,Q3
2023-01-01,3,MENDOZA,52.03,Q3
2023-01-01,3,MISIONES,55.51,Q3
2023-01-01,3,NEUQUÉN,79.97,Q3
2023-01-01,3,RÍO NEGRO,68.4,Q3
2023-01-01,3,SALTA,57.57,Q3
2023-01-01,3,SAN JUAN,50.45,Q3
2023-01-01,3,SAN LUIS,98.55,Q3
2023-01-01,3,SANTA CRUZ,40.89,Q3
2023-01-01,3,SANTA FE,79.09,Q3
2023-01-01,3,SANTIAGO DEL ESTERO,48.67,Q3
2023-01-01,3,TIERRA DEL FUEGO,105.95,Q3
2023-01-01,3,TUCUMÁN,61.26,Q3
2023-01-01,2,BUENOS AIRES,79.67,Q2
2023-01-01,2,BUENOS AIRES,115.48,Q2
