Año,Trimestre,Provincia,Accesos por cada 100 hab,Trimestre_Label
2024-01-01,2,BUENOS AIRES,27.43,Q2
2024-01-01,2,BUENOS AIRES,47.44,Q2
2024-01-01,2,CATAMARCA,17.5,Q2
2024-01-01,2,CHACO,11.78,Q2
2024-01-01,2,CHUBUT,26.46,Q2
2024-01-01,2,CÓRDOBA,27.79,Q2
2024-01-01,2,CORRIENTES,13.53,Q2
2024-01-01,2,ENTRE RÍOS,20.52,Q2
2024-01-01,2,FORMOSA,10.1,Q2
2024-01-01,2,JUJUY,14.91,Q2
2024-01-01,2,LA PAMPA,33.33,Q2
2024-01-01,2,LA RIOJA,21.17,Q2
2024-01-01,2,MENDOZA,14.6,Q2
2024-01-01,2,MISIONES,15.72,Q2
2024-01-01,2,NEUQUÉN,23.49,Q2
2024-01-01,2,RÍO NEGRO,21.95,Q2
2024-01-01,2,SALTA,13.49,Q2
2024-01-01,2,SAN JUAN,13.03,Q2
2024-01-01,2,SAN LUIS,29.59,Q2
2024-01-01,2,SANTA CRUZ,20.8,Q2
2024-01-01,2,SANTA FE,25.58,Q2
2024-01-01,2,SANTIAGO DEL ESTERO,12.33,Q2
2024-01-01,2,TIERRA DEL FUEGO,32.28,Q2
2024-01-01,2,TUCUMÁN,15.07,Q2
2024-01-01,1,BUENOS AIRES,27.8,Q1
2024-01-01,1,BUENOS AIRES,48.78,Q1
2024-01-01,1,CATAMARCA,17.5,Q1
2024-01-01,1,CHACO,12.48,Q1
2024-01-01,1,CHUBUT,26.02,Q1
2024-01-01,1,CÓRDOBA,27.77,Q1
2024-01-01,1,CORRIENTES,13.68,Q1
2024-01-01,1,ENTRE RÍOS,20.72,Q1
2024-01-01,1,FORMOSA,10.08,Q1
2024-01-01,1,JUJUY,14.74,Q1
2024-01-01,1,LA PAMPA,33.11,Q1
2024-01-01,1,LA RIOJA,21.3,Q1
2024-01-01,1,MENDOZA,14.67,Q1
2024-01-01,1,MISIONES,15.46,Q1
2024-01-01,1,NEUQUÉN,23.66,Q1
2024-01-01,1,RÍO NEGRO,21.88,Q1
2024-01-01,1,SALTA,13.63,Q1
2024-01-01,1,SAN JUAN,13.15,Q1
2024-01-01,1,SAN LUIS,29.39,Q1
2024-01-01,1,SANTA CRUZ,20.1,Q1
2024-01-01,1,SANTA FE,25.28,Q1
2024-01-01,1,SANTIAGO DEL ESTERO,12.26,Q1
2024-01-01,1,TIERRA DEL FUEGO,32.54,Q1
2024-01-01,1,TUCUMÁN,14.98,Q1
2023-01-01,4,BUENOS AIRES,27.68,Q4
2023-01-01,4,BUENOS AIRES,47.8,Q4
2023-01-01,4,CATAMARCA,17.46,Q4
2023-01-01,4,CHACO,11.85,Q4
2023-01-01,4,CHUBUT,26.04,Q4
2023-01-01,4,CÓRDOBA,27.76,Q4
2023-01-01,4,CORRIENTES,13.84,Q4
2023-01-01,4,ENTRE RÍOS,20.91,Q4
2023-01-01,4,FORMOSA,9.98,Q4
2023-01-01,4,JUJUY,14.77,Q4
2023-01-01,4,LA PAMPA,32.93,Q4
2023-01-01,4,LA RIOJA,21.35,Q4
2023-01-01,4,MENDOZA,14.55,Q4
2023-01-01,4,MISIONES,15.33,Q4
2023-01-01,4,NEUQUÉN,23.78,Q4
2023-01-01,4,RÍO NEGRO,21.61,Q4
2023-01-01,4,SALTA,13.8,Q4
2023-01-01,4,SAN JUAN,12.75,Q4
2023-01-01,4,SAN LUIS,29.21,Q4
2023-01-01,4,SANTA CRUZ,21.94,Q4
2023-01-01,4,SANTA FE,25.08,Q4
2023-01-01,4,SANTIAGO DEL ESTERO,12.18,Q4
2023-01-01,4,TIERRA DEL FUEGO,32.75,Q4
2023-01-01,4,TUCUMÁN,15.12,Q4
2023-01-01,3,BUENOS AIRES,27.5,Q3
2023-01-01,3,BUENOS AIRES,47.6,Q3
2023-01-01,3,CATAMARCA,17.44,Q3
2023-01-01,3,CHACO,11.46,Q3
2023-01-01,3,CHUBUT,25.82,Q3
2023-01-01,3,CÓRDOBA,27.57,Q3
2023-01-01,3,CORRIENTES,13.9,Q3
2023-01-01,3,ENTRE RÍOS,20.58,Q3
2023-01-01,3,FORMOSA,9.89,Q3
2023-01-01,3,JUJUY,14.73,Q3
2023-01-01,3,LA PAMPA,32.62,Q3
2023-01-01,3,LA RIOJA,21.41,Q3
2023-01-01,3,MENDOZA,14.52,Q3
2023-01-01,3,MISIONES,15.12,Q3
2023-01-01,3,NEUQUÉN,23.8,Q3
2023-01-01,3,RÍO NEGRO,21.04,Q3
2023-01-01,3,SALTA,13.94,Q3
2023-01-01,3,SAN JUAN,12.85,Q3
2023-01-01,3,SAN LUIS,28.2,Q3
2023-01-01,3,SANTA CRUZ,12.17,Q3
2023-01-01,3,SANTA FE,24.87,Q3
2023-01-01,3,SANTIAGO DEL ESTERO,12.08,Q3
2023-01-01,3,TIERRA DEL FUEGO,31.41,Q3
