país,Provincia,Partido,Localidad,link Indec,Velocidad (Mbps),Accesos,Provincia_encoded,Partido_encoded,Localidad_encoded
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,0.0,1.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,0.5,2.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,0.75,19.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,3.0,85.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,3.5,145.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,6.0,76.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,8.0,299.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,10.0,288.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,15.0,415.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,20.0,1796.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,25.0,144.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,30.0,1501.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,40.0,27.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,50.0,647.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,80.0,9.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,100.0,693.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,300.0,95.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,25 De Mayo,6854100,500.0,3.0,0,3,5
Argentina,Buenos Aires,25 De Mayo,Agustín Mosconi,6854010,10.0,59.0,0,3,46
Argentina,Buenos Aires,25 De Mayo,Agustín Mosconi,6854010,20.0,5.0,0,3,46
Argentina,Buenos Aires,25 De Mayo,Del Valle,6854020,0.5,1.0,0,3,716
Argentina,Buenos Aires,25 De Mayo,Del Valle,6854020,3.0,181.0,0,3,716
Argentina,Buenos Aires,25 De Mayo,Del Valle,6854020,10.0,10.0,0,3,716
Argentina,Buenos Aires,25 De Mayo,Ernestina,6854030,5.0,75.0,0,3,886
Argentina,Buenos Aires,25 De Mayo,Gobernador Ugarte,6854040,2.0,106.0,0,3,1057
