Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2024.0,2024Q2,Buenos Aires,214055.0,2722466.0,1849476.0,138638.0,64745.0,4989380.0
2024.0,2024Q2,Capital Federal,54102.0,1144781.0,230402.0,4493.0,29821.0,1463599.0
2024.0,2024Q2,Catamarca,4951.0,10303.0,58355.0,1384.0,81.0,75074.0
2024.0,2024Q2,Chaco,9448.0,57935.0,68944.0,8407.0,2358.0,147092.0
2024.0,2024Q2,Chubut,25955.0,80704.0,26516.0,31118.0,9930.0,174223.0
2024.0,2024Q2,Córdoba,93483.0,443091.0,477504.0,62162.0,9534.0,1085774.0
2024.0,2024Q2,Corrientes,14849.0,86226.0,39792.0,10295.0,5313.0,156475.0
2024.0,2024Q2,Entre Ríos,31335.0,158918.0,68540.0,23954.0,11564.0,294311.0
2024.0,2024Q2,Formosa,8488.0,18768.0,18977.0,16430.0,287.0,62950.0
2024.0,2024Q2,Jujuy,9509.0,51361.0,53492.0,4106.0,1216.0,119684.0
2024.0,2024Q2,La Pampa,6778.0,58647.0,37226.0,19510.0,1102.0,123263.0
2024.0,2024Q2,La Rioja,2230.0,55531.0,23294.0,6396.0,30.0,87481.0
2024.0,2024Q2,Mendoza,17671.0,66636.0,188815.0,27606.0,925.0,301653.0
2024.0,2024Q2,Misiones,20868.0,76427.0,87389.0,14968.0,6902.0,206554.0
2024.0,2024Q2,Neuquén,23553.0,72698.0,41784.0,24549.0,958.0,163542.0
2024.0,2024Q2,Río Negro,20771.0,49722.0,67636.0,18083.0,15829.0,172041.0
2024.0,2024Q2,Salta,19831.0,98511.0,64689.0,11807.0,6503.0,201341.0
2024.0,2024Q2,San Juan,12669.0,16978.0,45792.0,23594.0,6957.0,105990.0
2024.0,2024Q2,San Luis,4038.0,40063.0,34255.0,78954.0,299.0,157609.0
2024.0,2024Q2,Santa Cruz,7768.0,14134.0,49545.0,11353.0,661.0,83461.0
2024.0,2024Q2,Santa Fe,88486.0,394939.0,390090.0,44286.0,13172.0,930973.0
2024.0,2024Q2,Santiago Del Estero,5328.0,80000.0,30008.0,7058.0,2920.0,125314.0
2024.0,2024Q2,Tierra Del Fuego,9357.0,47859.0,3684.0,177.0,332.0,61409.0
2024.0,2024Q2,Tucumán,27968.0,20806.0,213753.0,3869.0,518.0,266914.0
2024.0,2024Q1,Capital Federal,70108.0,1177475.0,203756.0,4493.0,48879.0,1504711.0
2024.0,2024Q1,Catamarca,5901.0,11025.0,56542.0,1384.0,81.0,74933.0
2024.0,2024Q1,Chaco,11343.0,58929.0,64463.0,8404.0,12404.0,155543.0
2024.0,2024Q1,Chubut,26306.0,77217.0,26356.0,30867.0,9930.0,170676.0
2024.0,2024Q1,Córdoba,102812.0,449784.0,458985.0,61121.0,9497.0,1082199.0
2024.0,2024Q1,Corrientes,18390.0,85595.0,38268.0,10409.0,5232.0,157894.0
2024.0,2024Q1,Entre Ríos,36574.0,158283.0,66180.0,23950.0,11565.0,296552.0
2024.0,2024Q1,Formosa,9147.0,18631.0,17908.0,16851.0,181.0,62718.0
2024.0,2024Q1,Jujuy,10554.0,51093.0,51084.0,4106.0,1216.0,118053.0
2024.0,2024Q1,La Pampa,6844.0,59008.0,35556.0,19681.0,1106.0,122195.0
2024.0,2024Q1,La Rioja,2827.0,55443.0,23086.0,6396.0,30.0,87782.0
2024.0,2024Q1,Mendoza,17674.0,70932.0,185460.0,27606.0,925.0,302597.0
2024.0,2024Q1,Misiones,23217.0,77561.0,81498.0,13378.0,6902.0,202556.0
2024.0,2024Q1,Neuquén,24076.0,73298.0,41577.0,24387.0,908.0,164246.0
2024.0,2024Q1,Río Negro,20841.0,49727.0,66889.0,17733.0,15829.0,171019.0
2024.0,2024Q1,Salta,23858.0,99150.0,61543.0,11807.0,6503.0,202861.0
2024.0,2024Q1,San Juan,12669.0,18543.0,44904.0,23594.0,6956.0,106666.0
2024.0,2024Q1,San Luis,4038.0,41260.0,31539.0,78954.0,299.0,156090.0
2024.0,2024Q1,Santa Cruz,7768.0,14435.0,49545.0,7799.0,661.0,80208.0
2024.0,2024Q1,Santa Fe,86548.0,399817.0,374288.0,44162.0,13773.0,918588.0
2024.0,2024Q1,Santiago Del Estero,6644.0,80722.0,27018.0,7058.0,2920.0,124362.0
