Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo
2024,1998Q2,78.13,24.57,Abr-Jun 2024
2024,1999Q1,78.89,24.79,Ene-Mar 2024
2023,1996Q4,78.56,24.66,Oct-Dic 2023
2023,1997Q3,77.84,24.41,Jul-Sept 2023
2023,1998Q2,77.02,24.14,Abr-Jun 2023
2023,1999Q1,77.2,24.17,Ene-Mar 2023
2022,1996Q4,77.21,24.15,Oct-Dic 2022
2022,1997Q3,76.64,23.95,Jul-Sept 2022
2022,1998Q2,75.9654243719137,23.7204423164287,Abr-Jun 2022
2022,1999Q1,73.8788028445262,23.0491710386977,Ene-Mar 2022
2021,1996Q4,73.1763965281478,22.810702052175,Oct-Dic 2021
2021,1997Q3,70.5788534144302,21.9825500827064,Jul-Sept 2021
2021,1998Q2,69.2401826919972,21.5479389275921,Abr-Jun 2021
2021,1999Q1,67.9458763888521,21.1278318121601,Ene-Mar 2021
2020,1996Q4,67.6223386615562,21.0101917482845,Oct-Dic 2020
2020,1997Q3,66.31,20.59,Jul-Sept 2020
2020,1998Q2,64.2100028766699,19.918402765295,Abr-Jun 2020
2020,1999Q1,62.8563611135937,19.4832647686156,Ene-Mar 2020
2019,1996Q4,62.9199118209147,19.4879000871297,Oct-Dic 2019
2019,1997Q3,65.7879845391111,20.3606607185568,Jul-Sept 2019
2019,1998Q2,64.53,19.96,Abr-Jun 2019
2019,1999Q1,62.4791661097718,19.3079067412299,Ene-Mar 2019
2018,1996Q4,61.4158072343577,18.97,Oct-Dic 2018
2018,1997Q3,60.69,18.73,Jul-Sept 2018
2018,1998Q2,59.1620687879326,18.24,Abr-Jun 2018
2018,1999Q1,58.82,18.12,Ene-Mar 2018
