Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total
2024,2024Q2,28151,67024,840200,911374,662649,348253,8357088,341368,11556107
2024,2024Q1,28801,69355,866152,950930,672155,353896,8363694,328173,11633156
2023,2023Q4,29708,71742,900253,978108,697232,350290,8224736,295592,11547661
2023,2023Q3,30274,80609,945608,998725,720084,350918,8003269,277421,11406908
2023,2023Q2,30827,79405,963510,1028250,734125,364730,7775095,275955,11251897
2023,2023Q1,31437,82048,1001553,1060321,729194,357769,7564819,414754,11241895
2022,2022Q4,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114
2022,2022Q3,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128
2022,2022Q2,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684
2022,2022Q1,34890,104840,1263273,1209148,967508,509830,6336187,198333,10624009
2021,2021Q4,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794
2021,2021Q3,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541
2021,2021Q2,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084
2021,2021Q1,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972
2020,2020Q4,39510,42185,2622638,1073875,786595,582420,4239237,185102,9571562
2020,2020Q3,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199
2020,2020Q2,41038,48690,2651502,1053107,807775,523437,3711499,194008,9031056
2020,2020Q1,42550,56170,2649819,1022014,814470,532309,3500882,194212,8812426
2019,2019Q4,38272,28980,2792307,1046128,851619,1004083,2830746,201046,8793181
2019,2019Q3,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684
2019,2019Q2,202790,95980,3444458,871142,1169632,1250366,1677830,247983,8960181
2019,2019Q1,166573,195706,3428759,882836,1464748,1244215,1138728,126570,8648135
2018,2018Q4,138740,201196,3337982,882388,1472634,1688748,599579,152388,8473655
2018,2018Q3,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035
2018,2018Q2,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444
2018,2018Q1,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053
