Año,Trimestre,Mbps (Media de bajada),Trimestre.1
2024,2024Q2,139.25,Abr-Jun 2024
2024,2024Q1,139.15,Ene-Mar 2024
2023,2023Q4,139.04,Oct-Dic 2023
2023,2023Q3,129.67,Jul-Sept 2023
2023,2023Q2,123.95,Abr-Jun 2023
2023,2023Q1,110.5,Ene-Mar 2023
2022,2022Q4,106.56,Oct-Dic 2022
2022,2022Q3,62.46,Jul-Sept 2022
2022,2022Q2,58.44,Abr-Jun 2022
2022,2022Q1,55.11,Ene-Mar 2022
2021,2021Q4,52.34,Oct-Dic 2021
2021,2021Q3,48.46,Jul-Sept 2021
2021,2021Q2,45.63,Abr-Jun 2021
2021,2021Q1,43.11,Ene-Mar 2021
2020,2020Q4,42.36,Oct-Dic 2020
2020,2020Q3,40.67,Jul-Sept 2020
2020,2020Q2,38.32,Abr-Jun 2020
2020,2020Q1,37.52,Ene-Mar 2020
2019,2019Q4,28.26,Oct-Dic 2019
2019,2019Q3,24.18,Jul-Sept 2019
2019,2019Q2,20.33,Abr-Jun 2019
2019,2019Q1,17.38,Ene-Mar 2019
2018,2018Q4,15.95,Oct-Dic 2018
2018,2018Q3,15.36,Jul-Sept 2018
2018,2018Q2,13.8495399422441,Abr-Jun 2018
2018,2018Q1,13.221339833489,Ene-Mar 2018
