País,Provincia,Partido,Localidad,Unnamed: 4,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
Argentina,BUENOS AIRES,25 de Mayo,25 de Mayo,"Argentina,BUENOS AIRES,25 de Mayo,25 de Mayo",6854100,755,4600,0,2,0,742,0,727,6826
Argentina,BUENOS AIRES,25 de Mayo,Del Valle,"Argentina,BUENOS AIRES,25 de Mayo,Del Valle",6854020,181,0,0,0,10,1,0,0,192
Argentina,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,"Argentina,BUENOS AIRES,25 de Mayo,Gobernador Ugarte",6854040,0,0,0,0,0,0,0,181,181
Argentina,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,"Argentina,BUENOS AIRES,25 de Mayo,Norberto de la Riestra",6854060,0,782,0,496,16,0,0,185,1479
Argentina,BUENOS AIRES,25 de Mayo,Lucas Monteverde,"Argentina,BUENOS AIRES,25 de Mayo,Lucas Monteverde",6854050,0,0,0,0,0,0,0,6,6
Argentina,BUENOS AIRES,25 de Mayo,Ernestina,"Argentina,BUENOS AIRES,25 de Mayo,Ernestina",6854030,75,0,0,0,0,0,0,0,75
Argentina,BUENOS AIRES,25 de Mayo,Pedernales,"Argentina,BUENOS AIRES,25 de Mayo,Pedernales",6854070,154,0,0,25,21,0,0,7,207
Argentina,BUENOS AIRES,9 de Julio,12 de Octubre,"Argentina,BUENOS AIRES,9 de Julio,12 de Octubre",6588030,0,0,0,0,0,0,0,19,19
Argentina,BUENOS AIRES,9 de Julio,9 de Julio,"Argentina,BUENOS AIRES,9 de Julio,9 de Julio",6588100,4241,3553,80,6238,0,0,0,831,14943
Argentina,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),"Argentina,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga)",6588010,450,0,0,0,60,0,0,0,510
Argentina,BUENOS AIRES,9 de Julio,Dudignac,"Argentina,BUENOS AIRES,9 de Julio,Dudignac",6588040,0,0,0,0,0,0,0,474,474
Argentina,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),"Argentina,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French)",6588060,193,0,0,2,2,0,0,0,197
Argentina,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),"Argentina,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud)",6588120,0,0,0,118,0,0,0,42,160
Argentina,BUENOS AIRES,9 de Julio,Patricios,"Argentina,BUENOS AIRES,9 de Julio,Patricios",6588110,81,0,0,0,0,0,0,50,131
Argentina,BUENOS AIRES,9 de Julio,Morea,"Argentina,BUENOS AIRES,9 de Julio,Morea",6588080,0,0,0,0,0,0,0,130,130
Argentina,BUENOS AIRES,Adolfo Alsina,Carhué,"Argentina,BUENOS AIRES,Adolfo Alsina,Carhué",6007010,766,0,1,1417,1,0,0,1066,3251
Argentina,BUENOS AIRES,Adolfo Alsina,Maza,"Argentina,BUENOS AIRES,Adolfo Alsina,Maza",6007070,0,0,0,390,0,2,0,14,406
Argentina,BUENOS AIRES,Adolfo Alsina,Rivera,"Argentina,BUENOS AIRES,Adolfo Alsina,Rivera",6007080,0,0,0,1253,0,0,0,0,1253
