Provincia,Partido,Localidad,Link indec,Velocidad_mbps,Accesos
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,0,1.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,0,2.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,0,19.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,3,85.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,3,145.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,6,76.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,8,299.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,10,288.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,15,415.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,20,1796.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,25,144.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,30,1501.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,40,27.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,50,647.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,80,9.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,100,693.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,300,95.0
BUENOS AIRES,25 DE MAYO,25 DE MAYO,6854100,500,3.0
BUENOS AIRES,25 DE MAYO,AGUSTÍN MOSCONI,6854010,10,59.0
BUENOS AIRES,25 DE MAYO,AGUSTÍN MOSCONI,6854010,20,5.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,6854020,0,1.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,6854020,3,181.0
BUENOS AIRES,25 DE MAYO,DEL VALLE,6854020,10,10.0
BUENOS AIRES,25 DE MAYO,ERNESTINA,6854030,5,75.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,2,106.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,3,3.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,4,56.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,5,7.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,6,3.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,8,4.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,10,1.0
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,6854040,65,1.0
BUENOS AIRES,25 DE MAYO,LUCAS MONTEVERDE,6854050,3,5.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,2,174.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,3,32.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,4,9.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,5,8.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,6,914.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,10,2.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,15,322.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,25,29.0
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,6854060,50,20.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,6,2.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,10,177.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,15,3.0
BUENOS AIRES,25 DE MAYO,PEDERNALES,6854070,50,25.0
BUENOS AIRES,25 DE MAYO,SAN ENRIQUE,6854080,20,11.0
BUENOS AIRES,25 DE MAYO,VALDÉS,6854090,10,245.0
BUENOS AIRES,25 DE MAYO,VALDÉS,6854090,20,18.0
BUENOS AIRES,9 DE JULIO,12 DE OCTUBRE,6588030,3,11.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,0,9.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,3,198.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,3,114.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,5,154.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,6,4824.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,7,235.0
BUENOS AIRES,9 DE JULIO,9 DE JULIO,6588100,8,98.0
