Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra Óptica,Wireless,Otros,Total,Trimestre_Label
2024,2,BUENOS AIRES,214055,2722466,1849476,138638,64745,4989380,Q2
2024,2,CABA,54102,1144781,230402,4493,29821,1463599,Q2
2024,2,CATAMARCA,4951,10303,58355,1384,81,75074,Q2
2024,2,CHACO,9448,57935,68944,8407,2358,147092,Q2
2024,2,CHUBUT,25955,80704,26516,31118,9930,174223,Q2
2024,2,CÓRDOBA,93483,443091,477504,62162,9534,1085774,Q2
2024,2,CORRIENTES,14849,86226,39792,10295,5313,156475,Q2
2024,2,ENTRE RÍOS,31335,158918,68540,23954,11564,294311,Q2
2024,2,FORMOSA,8488,18768,18977,16430,287,62950,Q2
2024,2,JUJUY,9509,51361,53492,4106,1216,119684,Q2
2024,2,LA PAMPA,6778,58647,37226,19510,1102,123263,Q2
2024,2,LA RIOJA,2230,55531,23294,6396,30,87481,Q2
2024,2,MENDOZA,17671,66636,188815,27606,925,301653,Q2
2024,2,MISIONES,20868,76427,87389,14968,6902,206554,Q2
2024,2,NEUQUÉN,23553,72698,41784,24549,958,163542,Q2
2024,2,RÍO NEGRO,20771,49722,67636,18083,15829,172041,Q2
2024,2,SALTA,19831,98511,64689,11807,6503,201341,Q2
2024,2,SAN JUAN,12669,16978,45792,23594,6957,105990,Q2
2024,2,SAN LUIS,4038,40063,34255,78954,299,157609,Q2
2024,2,SANTA CRUZ,7768,14134,49545,11353,661,83461,Q2
2024,2,SANTA FE,88486,394939,390090,44286,13172,930973,Q2
2024,2,SANTIAGO DEL ESTERO,5328,80000,30008,7058,2920,125314,Q2
2024,2,TIERRA DEL FUEGO,9357,47859,3684,177,332,61409,Q2
2024,2,TUCUMÁN,27968,20806,213753,3869,518,266914,Q2
2024,1,CABA,70108,1177475,203756,4493,48879,1504711,Q1
2024,1,CATAMARCA,5901,11025,56542,1384,81,74933,Q1
2024,1,CHACO,11343,58929,64463,8404,12404,155543,Q1
2024,1,CHUBUT,26306,77217,26356,30867,9930,170676,Q1
2024,1,CÓRDOBA,102812,449784,458985,61121,9497,1082199,Q1
2024,1,CORRIENTES,18390,85595,38268,10409,5232,157894,Q1
2024,1,ENTRE RÍOS,36574,158283,66180,23950,11565,296552,Q1
2024,1,FORMOSA,9147,18631,17908,16851,181,62718,Q1
2024,1,JUJUY,10554,51093,51084,4106,1216,118053,Q1
2024,1,LA PAMPA,6844,59008,35556,19681,1106,122195,Q1
2024,1,LA RIOJA,2827,55443,23086,6396,30,87782,Q1
2024,1,MENDOZA,17674,70932,185460,27606,925,302597,Q1
2024,1,MISIONES,23217,77561,81498,13378,6902,202556,Q1
2024,1,NEUQUÉN,24076,73298,41577,24387,908,164246,Q1
2024,1,RÍO NEGRO,20841,49727,66889,17733,15829,171019,Q1
2024,1,SALTA,23858,99150,61543,11807,6503,202861,Q1
2024,1,SAN JUAN,12669,18543,44904,23594,6956,106666,Q1
2024,1,SAN LUIS,4038,41260,31539,78954,299,156090,Q1
2024,1,SANTA CRUZ,7768,14435,49545,7799,661,80208,Q1
2024,1,SANTA FE,86548,399817,374288,44162,13773,918588,Q1
2024,1,SANTIAGO DEL ESTERO,6644,80722,27018,7058,2920,124362,Q1
2024,1,TIERRA DEL FUEGO,9357,48005,3684,177,332,61555,Q1
2024,1,TUCUMÁN,33682,20361,205959,4075,518,264595,Q1
2023,4,BUENOS AIRES,223391,2797700,1784593,137993,67943,5011620,Q4
2023,4,CABA,58700,1198835,182520,4492,29820,1474367,Q4
2023,4,CATAMARCA,6669,11016,55437,1384,81,74587,Q4
2023,4,CHACO,14000,60277,62301,8404,2404,147386,Q4
2023,4,CHUBUT,26306,77217,26174,30543,9930,170170,Q4
2023,4,CÓRDOBA,115662,452380,440536,61862,8862,1079302,Q4
2023,4,CORRIENTES,21769,86102,35968,10402,5231,159472,Q4
2023,4,ENTRE RÍOS,41794,159575,61667,24036,11565,298637,Q4
2023,4,FORMOSA,10252,18325,16179,17061,185,62002,Q4
2023,4,JUJUY,11669,51083,49947,4105,1216,118020,Q4
2023,4,LA PAMPA,6844,59063,34331,19982,1106,121326,Q4
2023,4,LA RIOJA,3296,55441,22559,6395,30,87721,Q4
2023,4,MENDOZA,17676,70920,182220,27609,926,299351,Q4
2023,4,MISIONES,25840,79000,75382,12928,7183,200333,Q4
2023,4,NEUQUÉN,24122,73784,41583,24390,748,164627,Q4
2023,4,RÍO NEGRO,21192,49789,64323,17284,15829,168417,Q4
2023,4,SALTA,26765,98853,60800,11806,6508,204732,Q4
2023,4,SAN JUAN,12669,18543,42691,22351,6956,103210,Q4
2023,4,SAN LUIS,4037,41260,30135,78954,299,154685,Q4
2023,4,SANTA CRUZ,7768,15669,55246,7687,661,87031,Q4
2023,4,SANTA FE,97004,398670,355762,44521,13544,909501,Q4
2023,4,SANTIAGO DEL ESTERO,8290,80692,24271,7057,2920,123230,Q4
2023,4,TIERRA DEL FUEGO,9357,48071,3682,157,332,61599,Q4
2023,4,TUCUMÁN,41318,20267,199876,4357,517,266335,Q4
2023,3,BUENOS AIRES,237705,2784175,1740239,137921,68197,4968237,Q3
2023,3,CABA,60765,1205339,167428,4629,29823,1467984,Q3
2023,3,CATAMARCA,7164,11066,54650,1384,91,74355,Q3
2023,3,CHACO,16420,60058,54993,8267,2408,142146,Q3
2023,3,CHUBUT,26352,75460,25827,30521,9908,168068,Q3
2023,3,CÓRDOBA,125050,453994,417338,62514,10438,1069334,Q3
2023,3,CORRIENTES,24253,83897,36032,10407,5240,159829,Q3
2023,3,ENTRE RÍOS,45384,157464,54794,24481,11170,293293,Q3
2023,3,FORMOSA,11230,18053,14904,16899,228,61314,Q3
2023,3,JUJUY,12627,51082,48350,4067,1251,117377,Q3
2023,3,LA PAMPA,6844,59063,32891,20014,1109,119921,Q3
2023,3,LA RIOJA,3726,55494,22054,6395,32,87701,Q3
2023,3,MENDOZA,17677,73066,178719,27609,951,298022,Q3
2023,3,MISIONES,27934,79087,70003,12928,7183,197135,Q3
2023,3,NEUQUÉN,24527,73329,39243,24085,3089,164273,Q3
2023,3,RÍO NEGRO,22422,50429,56668,16864,17102,163485,Q3
2023,3,SALTA,29113,98324,59914,12337,6545,206233,Q3
2023,3,SAN JUAN,12669,19376,42383,22317,6985,103730,Q3
2023,3,SAN LUIS,4037,41624,24525,78431,299,148916,Q3
2023,3,SANTA CRUZ,8376,23931,11270,3660,750,47987,Q3
2023,3,SANTA FE,108503,397854,336013,44545,13437,900352,Q3
2023,3,SANTIAGO DEL ESTERO,9412,80919,21745,6916,2936,121928,Q3
2023,3,TIERRA DEL FUEGO,9357,45203,3682,157,332,58731,Q3
2023,3,TUCUMÁN,46348,20545,195053,4088,523,266557,Q3
2023,2,BUENOS AIRES,265537,2766463,1645945,138405,69138,4885488,Q2
2023,2,CABA,68348,1218631,136295,4504,29900,1457678,Q2
2023,2,CATAMARCA,7637,10700,53177,1384,92,72990,Q2
2023,2,CHACO,19115,59944,51955,8267,2574,141855,Q2
2023,2,CHUBUT,33702,73689,16111,30521,9938,163961,Q2
2023,2,CÓRDOBA,129303,453924,411703,62391,10430,1067751,Q2
2023,2,CORRIENTES,26821,82977,32834,10407,5255,158294,Q2
2023,2,ENTRE RÍOS,46503,142562,49251,24461,11170,273947,Q2
2023,2,FORMOSA,11934,17678,13698,16813,227,60350,Q2
2023,2,JUJUY,13749,51082,47289,4067,1255,117442,Q2
2023,2,LA PAMPA,7254,59101,31449,19993,1113,118910,Q2
2023,2,LA RIOJA,4152,55148,21245,6395,32,86972,Q2
2023,2,MENDOZA,25299,71931,171857,27609,980,297676,Q2
2023,2,MISIONES,28897,82058,64406,12927,7183,195471,Q2
2023,2,NEUQUÉN,26379,73040,35171,24046,3110,161746,Q2
2023,2,RÍO NEGRO,26390,49684,53325,16864,17116,163379,Q2
2023,2,SALTA,30666,97501,58275,12337,6549,205328,Q2
2023,2,SAN JUAN,21483,20200,25217,23545,7004,97449,Q2
2023,2,SAN LUIS,4937,41949,15595,77960,307,140748,Q2
2023,2,SANTA CRUZ,9019,23896,11269,3660,758,48602,Q2
2023,2,SANTA FE,126344,399669,311166,44134,14501,895814,Q2
2023,2,SANTIAGO DEL ESTERO,10629,80086,17244,6916,2934,117809,Q2
2023,2,TIERRA DEL FUEGO,12392,45224,525,157,337,58635,Q2
2023,2,TUCUMÁN,50019,20012,188986,4060,525,263602,Q2
2023,1,BUENOS AIRES,304583,2761043,1551074,132458,71770,4820928,Q1
2023,1,CABA,132149,1223930,156222,4605,31823,1548729,Q1
2023,1,CATAMARCA,6980,10655,50230,1384,2243,71492,Q1
2023,1,CHACO,21243,60727,49756,8142,2574,142442,Q1
2023,1,CHUBUT,45448,73525,9815,30521,10744,170053,Q1
2023,1,CÓRDOBA,136976,455139,386297,61066,10494,1049972,Q1
2023,1,CORRIENTES,29577,81116,30016,11071,5240,157020,Q1
2023,1,ENTRE RÍOS,51084,141699,44508,26415,11172,274878,Q1
2023,1,FORMOSA,12502,17421,13345,17490,227,60985,Q1
2023,1,JUJUY,15306,51082,46271,4067,1255,117981,Q1
2023,1,LA PAMPA,7049,59944,28126,20103,1282,116504,Q1
2023,1,LA RIOJA,4652,54604,20722,6395,32,86405,Q1
2023,1,MENDOZA,37646,73678,152534,27592,1569,293019,Q1
2023,1,MISIONES,30455,82834,56619,12896,7881,190685,Q1
2023,1,NEUQUÉN,28030,72639,32296,23937,3510,160412,Q1
2023,1,RÍO NEGRO,33604,49128,45329,16857,19413,164331,Q1
2023,1,SALTA,33427,96922,56259,12269,6549,205426,Q1
2023,1,SAN JUAN,38568,21215,12798,21912,7274,101767,Q1
2023,1,SAN LUIS,6283,42789,6952,78954,485,135463,Q1
2023,1,SANTA CRUZ,9702,23839,12217,3660,943,50361,Q1
2023,1,SANTA FE,138935,405618,283988,43487,14246,886274,Q1
2023,1,SANTIAGO DEL ESTERO,11642,80407,16656,6916,2934,118555,Q1
2023,1,TIERRA DEL FUEGO,12754,43146,405,157,651,57113,Q1
2023,1,TUCUMÁN,55822,19482,180976,4293,527,261100,Q1
2022,4,BUENOS AIRES,325908,2767247,1499149,129910,72451,4794665,Q4
2022,4,CABA,138753,1238196,138548,4603,31826,1551926,Q4
2022,4,CATAMARCA,8952,10998,47337,1379,2243,70909,Q4
2022,4,CHACO,24582,61265,47285,7957,2574,143663,Q4
2022,4,CHUBUT,45450,73923,9815,30721,8850,168759,Q4
2022,4,CÓRDOBA,152265,456947,367393,61631,11424,1049660,Q4
2022,4,CORRIENTES,34038,80283,26752,9082,5298,155453,Q4
2022,4,ENTRE RÍOS,55507,135746,40798,26414,12509,270974,Q4
2022,4,FORMOSA,13735,17068,13118,17692,227,61840,Q4
2022,4,JUJUY,17880,52390,42626,4067,1255,118218,Q4
2022,4,LA PAMPA,7785,60566,24552,19995,1266,114164,Q4
2022,4,LA RIOJA,6120,54387,19328,6395,32,86262,Q4
2022,4,MENDOZA,37655,77814,147080,27607,1948,292104,Q4
2022,4,MISIONES,33204,87202,46885,11075,7903,186269,Q4
2022,4,NEUQUÉN,28609,72679,31567,23815,3510,160180,Q4
2022,4,RÍO NEGRO,34043,48401,43958,16277,19413,162092,Q4
2022,4,SALTA,36939,97023,53470,11884,6544,205860,Q4
2022,4,SAN JUAN,38570,22913,12491,21912,7940,103826,Q4
2022,4,SAN LUIS,6283,43460,3409,81557,511,135220,Q4
2022,4,SANTA CRUZ,9702,23876,12217,3746,662,50203,Q4
2022,4,SANTA FE,163621,412157,248558,44113,19242,887691,Q4
2022,4,SANTIAGO DEL ESTERO,13577,80955,15117,6911,2934,119494,Q4
2022,4,TIERRA DEL FUEGO,12754,41293,405,157,651,55260,Q4
2022,4,TUCUMÁN,69441,20668,168717,4069,527,263422,Q4
2022,3,BUENOS AIRES,339648,2748325,1436433,126846,70416,4721668,Q3
2022,3,CABA,140791,1240125,129218,5758,31787,1547679,Q3
2022,3,CATAMARCA,10010,10495,46224,1329,2235,70293,Q3
2022,3,CHACO,27164,61800,44645,8178,2359,144146,Q3
2022,3,CHUBUT,45377,72212,9574,29784,8831,165778,Q3
2022,3,CÓRDOBA,163770,465461,338570,61070,9797,1038668,Q3
2022,3,CORRIENTES,36508,77140,18619,7256,5323,144846,Q3
2022,3,ENTRE RÍOS,60345,132952,36971,26098,12593,268959,Q3
2022,3,FORMOSA,14470,25880,11041,16935,212,68538,Q3
2022,3,JUJUY,19257,52978,40172,4033,2383,118823,Q3
2022,3,LA PAMPA,7796,60078,23551,20216,4451,116092,Q3
2022,3,LA RIOJA,6842,53899,19697,6395,31,86864,Q3
2022,3,MENDOZA,37659,78858,142615,27625,2766,289523,Q3
2022,3,MISIONES,35513,88902,39046,11074,7622,182157,Q3
2022,3,NEUQUÉN,29352,75815,29396,27482,1116,163161,Q3
2022,3,RÍO NEGRO,35552,48260,41017,16760,18969,160558,Q3
2022,3,SALTA,40006,96984,50254,10082,7215,204541,Q3
2022,3,SAN JUAN,38570,22723,12328,21860,7918,103399,Q3
2022,3,SAN LUIS,6860,29363,248,70614,14985,122070,Q3
2022,3,SANTA CRUZ,10170,24047,10815,3896,582,49510,Q3
2022,3,SANTA FE,183740,426255,215189,43079,19547,887810,Q3
2022,3,SANTIAGO DEL ESTERO,15385,80937,13170,6618,2922,119032,Q3
2022,3,TIERRA DEL FUEGO,12754,39963,403,125,651,53896,Q3
2022,3,TUCUMÁN,77738,18518,162345,3997,519,263117,Q3
2022,2,BUENOS AIRES,350652,2719613,1399043,126847,71028,4667183,Q2
2022,2,CABA,145491,1232226,121506,5757,31791,1536771,Q2
2022,2,CATAMARCA,11928,9430,42087,1329,2234,67008,Q2
2022,2,CHACO,29552,61284,42194,8178,2356,143564,Q2
2022,2,CHUBUT,45377,69242,9574,29784,8828,162805,Q2
2022,2,CÓRDOBA,179181,467595,308895,61107,9657,1026435,Q2
2022,2,CORRIENTES,38468,75769,18181,7256,5323,144997,Q2
2022,2,ENTRE RÍOS,63794,131029,35839,26098,12592,269352,Q2
2022,2,FORMOSA,15397,25487,9875,16910,212,67881,Q2
2022,2,JUJUY,20303,54495,34184,3955,2377,115314,Q2
2022,2,LA PAMPA,7796,59273,22994,20200,1264,111527,Q2
2022,2,LA RIOJA,7759,52656,19189,6395,31,86030,Q2
2022,2,MENDOZA,37663,77504,135504,26964,1927,279562,Q2
2022,2,MISIONES,37208,89260,33649,11074,7622,178813,Q2
2022,2,NEUQUÉN,29749,74905,28824,27371,1119,161968,Q2
2022,2,RÍO NEGRO,36050,47040,40946,16760,18968,159764,Q2
2022,2,SALTA,42665,96178,47076,10068,7190,203177,Q2
2022,2,SAN JUAN,38570,19734,12328,21859,7916,100407,Q2
2022,2,SAN LUIS,6860,29034,248,70614,14985,121741,Q2
2022,2,SANTA CRUZ,10170,23725,10815,3896,579,49185,Q2
2022,2,SANTA FE,198492,428233,189503,43081,19550,878859,Q2
2022,2,SANTIAGO DEL ESTERO,16561,80338,11605,6618,2922,118044,Q2
2022,2,TIERRA DEL FUEGO,12754,39837,403,125,651,53770,Q2
2022,2,TUCUMÁN,85893,15327,148823,3997,487,254527,Q2
2022,1,BUENOS AIRES,392045,2728865,1242121,125521,66872,4555424,Q1
2022,1,CABA,102290,1217225,62308,5784,29934,1417541,Q1
2022,1,CATAMARCA,14181,15517,29118,1328,2234,62378,Q1
2022,1,CHACO,32391,64546,36662,8164,2356,144119,Q1
2022,1,CHUBUT,44133,66667,9184,30592,21052,171628,Q1
2022,1,CÓRDOBA,195610,501799,235838,60843,9713,1003803,Q1
2022,1,CORRIENTES,40462,79093,10875,6774,5374,142578,Q1
2022,1,ENTRE RÍOS,67159,138986,23091,26098,12592,267926,Q1
2022,1,FORMOSA,16397,15927,5146,16876,202,54548,Q1
2022,1,JUJUY,21307,60616,25949,4662,3975,116509,Q1
2022,1,LA PAMPA,8003,58978,21739,19903,1109,109732,Q1
2022,1,LA RIOJA,9103,59228,9546,6395,31,84303,Q1
2022,1,MENDOZA,49464,74145,123228,26969,1379,275185,Q1
2022,1,MISIONES,39147,91752,25178,7807,7624,171508,Q1
2022,1,NEUQUÉN,28443,73200,24193,23098,745,149679,Q1
2022,1,RÍO NEGRO,38662,45366,38037,16815,18494,157374,Q1
2022,1,SALTA,44714,98667,40994,5950,7190,197515,Q1
2022,1,SAN JUAN,34038,14449,11294,20723,7674,88178,Q1
2022,1,SAN LUIS,7987,11296,31,71809,28721,119844,Q1
2022,1,SANTA CRUZ,10537,23420,10766,3974,405,49102,Q1
2022,1,SANTA FE,213486,444609,146552,45261,20571,870479,Q1
2022,1,SANTIAGO DEL ESTERO,18118,87979,1093,6349,2922,116461,Q1
2022,1,TIERRA DEL FUEGO,13031,38700,416,124,340,52611,Q1
2022,1,TUCUMÁN,92532,62396,86174,3995,487,245584,Q1
2021,4,BUENOS AIRES,426325,2706506,1176024,126887,73415,4509157,Q4
2021,4,CABA,111360,1205128,60005,5679,29947,1412119,Q4
2021,4,CATAMARCA,16385,13858,25100,1512,2235,59090,Q4
2021,4,CHACO,35548,63145,34688,8005,2359,143745,Q4
2021,4,CHUBUT,46361,57412,9655,28041,18839,160308,Q4
2021,4,CÓRDOBA,212011,487489,217214,61277,8779,986770,Q4
2021,4,CORRIENTES,42523,71183,10138,6778,5290,135912,Q4
2021,4,ENTRE RÍOS,70459,133387,23452,25022,12726,265046,Q4
2021,4,FORMOSA,17211,15111,5151,16018,172,53663,Q4
2021,4,JUJUY,22330,60511,24156,2927,3991,113915,Q4
2021,4,LA PAMPA,8175,58000,20192,19286,1354,107007,Q4
2021,4,LA RIOJA,10387,56651,9446,6613,31,83128,Q4
2021,4,MENDOZA,59842,71553,109667,24666,1859,267587,Q4
2021,4,MISIONES,41778,92068,22035,7649,7602,171132,Q4
