Año,Trimestre,Provincia,Hasta 512 Kbps,De 512 Kbps a 1 Mbps,De 1 Mbps a 6 Mbps,De 6 Mbps a 10 Mbps,De 10 Mbps a 20 Mbps,De 20 Mbps a 30 Mbps,De 30 Mbps,Otros,Total,Trimestre_Label
2024,2,BUENOS AIRES,25287,23034,222627,221660,244528,106302,4020395,125547.0,4989380,Q2
2024,2,CABA,518,4122,24539,40296,33158,5633,1355333,0.0,1463599,Q2
2024,2,CATAMARCA,72,164,2660,3093,3799,1279,63954,53.0,75074,Q2
2024,2,CHACO,236,349,14594,8336,6208,6454,107707,3208.0,147092,Q2
2024,2,CHUBUT,125,1139,43699,31971,22696,19827,38212,16554.0,174223,Q2
2024,2,CÓRDOBA,103,7771,104023,84867,47180,27367,797600,16863.0,1085774,Q2
2024,2,CORRIENTES,67,2514,17264,15233,7058,2060,107094,5185.0,156475,Q2
2024,2,ENTRE RÍOS,107,4123,33357,48933,15240,7220,171352,13979.0,294311,Q2
2024,2,FORMOSA,85,142,21748,10864,3989,290,25541,291.0,62950,Q2
2024,2,JUJUY,59,1213,11836,14148,28183,687,61615,1943.0,119684,Q2
2024,2,LA PAMPA,71,1330,43807,17017,15353,5168,38916,1601.0,123263,Q2
2024,2,LA RIOJA,19,377,1124,1296,24703,4542,55420,0.0,87481,Q2
2024,2,MENDOZA,108,2945,35803,20865,29649,7411,199311,5561.0,301653,Q2
2024,2,MISIONES,51,3096,26173,26970,9290,4441,127506,9027.0,206554,Q2
2024,2,NEUQUÉN,146,990,35229,13345,10590,3367,79985,19890.0,163542,Q2
2024,2,RÍO NEGRO,118,1035,25810,17903,17570,18633,75408,15564.0,172041,Q2
2024,2,SALTA,117,853,25886,62722,2619,68,102535,6541.0,201341,Q2
2024,2,SAN JUAN,27,2022,22029,13028,11532,974,33634,22744.0,105990,Q2
2024,2,SAN LUIS,60,629,11229,23702,4234,70855,40925,5975.0,157609,Q2
2024,2,SANTA CRUZ,56,434,7768,9578,10592,8874,12374,33785.0,83461,Q2
