Año,Trimestre,Provincia,Accesos por cada 100 hogares,Trimestre_Label
2024,2,BUENOS AIRES,79,Q2
2024,2,CABA,116,Q2
2024,2,CATAMARCA,68,Q2
2024,2,CHACO,44,Q2
2024,2,CHUBUT,86,Q2
2024,2,CÓRDOBA,90,Q2
2024,2,CORRIENTES,51,Q2
2024,2,ENTRE RÍOS,68,Q2
2024,2,FORMOSA,39,Q2
2024,2,JUJUY,58,Q2
2024,2,LA PAMPA,101,Q2
2024,2,LA RIOJA,79,Q2
2024,2,MENDOZA,52,Q2
2024,2,MISIONES,57,Q2
2024,2,NEUQUÉN,78,Q2
2024,2,RÍO NEGRO,71,Q2
2024,2,SALTA,55,Q2
2024,2,SAN JUAN,51,Q2
2024,2,SAN LUIS,103,Q2
2024,2,SANTA CRUZ,69,Q2
2024,2,SANTA FE,81,Q2
2024,2,SANTIAGO DEL ESTERO,49,Q2
2024,2,TIERRA DEL FUEGO,108,Q2
2024,2,TUCUMÁN,60,Q2
2024,1,BUENOS AIRES,81,Q1
2024,1,CABA,119,Q1
2024,1,CATAMARCA,68,Q1
2024,1,CHACO,46,Q1
2024,1,CHUBUT,84,Q1
2024,1,CÓRDOBA,90,Q1
2024,1,CORRIENTES,51,Q1
2024,1,ENTRE RÍOS,69,Q1
2024,1,FORMOSA,39,Q1
2024,1,JUJUY,57,Q1
2024,1,LA PAMPA,100,Q1
2024,1,LA RIOJA,80,Q1
2024,1,MENDOZA,52,Q1
2024,1,MISIONES,56,Q1
2024,1,NEUQUÉN,79,Q1
2024,1,RÍO NEGRO,71,Q1
2024,1,SALTA,56,Q1
2024,1,SAN JUAN,51,Q1
2024,1,SAN LUIS,102,Q1
2024,1,SANTA CRUZ,67,Q1
2024,1,SANTA FE,80,Q1
2024,1,SANTIAGO DEL ESTERO,49,Q1
2024,1,TIERRA DEL FUEGO,109,Q1
2024,1,TUCUMÁN,60,Q1
2023,4,BUENOS AIRES,80,Q4
2023,4,CABA,117,Q4
2023,4,CATAMARCA,68,Q4
2023,4,CHACO,44,Q4
2023,4,CHUBUT,84,Q4
2023,4,CÓRDOBA,90,Q4
2023,4,CORRIENTES,52,Q4
2023,4,ENTRE RÍOS,69,Q4
2023,4,FORMOSA,39,Q4
2023,4,JUJUY,57,Q4
2023,4,LA PAMPA,99,Q4
2023,4,LA RIOJA,80,Q4
