Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo,Trimestre_Label
2024,2,78,24,Abr-Jun 2024,Q2
2024,1,78,24,Ene-Mar 2024,Q1
2023,4,78,24,Oct-Dic 2023,Q4
2023,3,77,24,Jul-Sept 2023,Q3
2023,2,77,24,Abr-Jun 2023,Q2
2023,1,77,24,Ene-Mar 2023,Q1
2022,4,77,24,Oct-Dic 2022,Q4
2022,3,76,23,Jul-Sept 2022,Q3
2022,2,75,23,Abr-Jun 2022,Q2
2022,1,73,23,Ene-Mar 2022,Q1
2021,4,73,22,Oct-Dic 2021,Q4
2021,3,70,21,Jul-Sept 2021,Q3
2021,2,69,21,Abr-Jun 2021,Q2
2021,1,67,21,Ene-Mar 2021,Q1
2020,4,67,21,Oct-Dic 2020,Q4
2020,3,66,20,Jul-Sept 2020,Q3
2020,2,64,19,Abr-Jun 2020,Q2
2020,1,62,19,Ene-Mar 2020,Q1
2019,4,62,19,Oct-Dic 2019,Q4
2019,3,65,20,Jul-Sept 2019,Q3
2019,2,64,19,Abr-Jun 2019,Q2
2019,1,62,19,Ene-Mar 2019,Q1
2018,4,61,18,Oct-Dic 2018,Q4
2018,3,60,18,Jul-Sept 2018,Q3
2018,2,59,18,Abr-Jun 2018,Q2
2018,1,58,18,Ene-Mar 2018,Q1
2017,4,57,17,Oct-Dic 2017,Q4
2017,3,56,17,Jul-Sept 2017,Q3
2017,2,54,16,Abr-Jun 2017,Q2
2017,1,54,16,Ene-Mar 2017,Q1
2016,4,53,16,Oct-Dic 2016,Q4
2016,3,53,16,Jul-Sept 2016,Q3
2016,2,53,16,Abr-Jun 2016,Q2
2016,1,51,15,Ene-Mar 2016,Q1
2015,4,52,16,Oct-Dic 2015,Q4
2015,3,52,16,Jul-Sept 2015,Q3
2015,2,51,15,Abr-Jun 2015,Q2
2015,1,51,15,Ene-Mar 2015,Q1
2014,4,50,15,Oct-Dic 2014,Q4
2014,3,50,15,Jul-Sept 2014,Q3
2014,2,49,15,Abr-Jun 2014,Q2
2014,1,49,15,Ene-Mar 2014,Q1
