Año,Trimestre,Provincia,Accesos por cada 100 hab,Trimestre_Label
2024,2,BUENOS AIRES,27,Q2
2024,2,CABA,47,Q2
2024,2,CATAMARCA,17,Q2
2024,2,CHACO,11,Q2
2024,2,CHUBUT,26,Q2
2024,2,CÓRDOBA,27,Q2
2024,2,CORRIENTES,13,Q2
2024,2,ENTRE RÍOS,20,Q2
2024,2,FORMOSA,10,Q2
2024,2,JUJUY,14,Q2
2024,2,LA PAMPA,33,Q2
2024,2,LA RIOJA,21,Q2
2024,2,MENDOZA,14,Q2
2024,2,MISIONES,15,Q2
2024,2,NEUQUÉN,23,Q2
2024,2,RÍO NEGRO,21,Q2
2024,2,SALTA,13,Q2
2024,2,SAN JUAN,13,Q2
2024,2,SAN LUIS,29,Q2
2024,2,SANTA CRUZ,20,Q2
2024,2,SANTA FE,25,Q2
2024,2,SANTIAGO DEL ESTERO,12,Q2
2024,2,TIERRA DEL FUEGO,32,Q2
2024,2,TUCUMÁN,15,Q2
2024,1,BUENOS AIRES,27,Q1
2024,1,CABA,48,Q1
2024,1,CATAMARCA,17,Q1
2024,1,CHACO,12,Q1
2024,1,CHUBUT,26,Q1
2024,1,CÓRDOBA,27,Q1
2024,1,CORRIENTES,13,Q1
2024,1,ENTRE RÍOS,20,Q1
2024,1,FORMOSA,10,Q1
2024,1,JUJUY,14,Q1
2024,1,LA PAMPA,33,Q1
2024,1,LA RIOJA,21,Q1
2024,1,MENDOZA,14,Q1
2024,1,MISIONES,15,Q1
2024,1,NEUQUÉN,23,Q1
2024,1,RÍO NEGRO,21,Q1
2024,1,SALTA,13,Q1
2024,1,SAN JUAN,13,Q1
2024,1,SAN LUIS,29,Q1
2024,1,SANTA CRUZ,20,Q1
2024,1,SANTA FE,25,Q1
2024,1,SANTIAGO DEL ESTERO,12,Q1
2024,1,TIERRA DEL FUEGO,32,Q1
2024,1,TUCUMÁN,14,Q1
2023,4,BUENOS AIRES,27,Q4
2023,4,CABA,47,Q4
2023,4,CATAMARCA,17,Q4
2023,4,CHACO,11,Q4
2023,4,CHUBUT,26,Q4
