Año,Trimestre,Provincia,Velocidad,Accesos,Trimestre_Label
1970,2,BUENOS AIRES,75.0,1062,Q2
1970,2,BUENOS AIRES,59.0,59,Q2
1970,2,BUENOS AIRES,480.0,5,Q2
1970,2,BUENOS AIRES,3.0,41735,Q2
1970,2,BUENOS AIRES,18.0,1042,Q2
1970,2,BUENOS AIRES,9.0,750,Q2
1970,2,BUENOS AIRES,17.0,2,Q2
1970,2,BUENOS AIRES,8.0,63727,Q2
1970,2,BUENOS AIRES,105.0,14,Q2
1970,2,BUENOS AIRES,500.0,137199,Q2
1970,2,BUENOS AIRES,24.0,84,Q2
1970,2,BUENOS AIRES,85.0,16,Q2
1970,2,BUENOS AIRES,32.0,16,Q2
1970,2,BUENOS AIRES,55.0,255,Q2
1970,2,BUENOS AIRES,31.0,1611,Q2
1970,2,BUENOS AIRES,120.0,510,Q2
1970,2,BUENOS AIRES,4.0,83,Q2
1970,2,BUENOS AIRES,23.0,20,Q2
1970,2,BUENOS AIRES,70.0,7236,Q2
1970,2,BUENOS AIRES,22.0,1,Q2
1970,2,BUENOS AIRES,256.0,15,Q2
1970,2,BUENOS AIRES,0.0,25,Q2
1970,2,BUENOS AIRES,35.0,1399,Q2
1970,2,BUENOS AIRES,205.0,3,Q2
1970,2,BUENOS AIRES,4.0,13200,Q2
1970,2,BUENOS AIRES,11.0,10,Q2
1970,2,BUENOS AIRES,155.0,28,Q2
1970,2,BUENOS AIRES,21.0,2,Q2
1970,2,BUENOS AIRES,2.0,19065,Q2
1970,2,BUENOS AIRES,512.0,663,Q2
1970,2,BUENOS AIRES,65.0,90,Q2
1970,2,BUENOS AIRES,125.0,2,Q2
1970,2,BUENOS AIRES,10.0,145894,Q2
1970,2,BUENOS AIRES,999.0,26,Q2
1970,2,BUENOS AIRES,212.0,1,Q2
1970,2,BUENOS AIRES,2.0,21,Q2
1970,2,BUENOS AIRES,13.0,238,Q2
1970,2,BUENOS AIRES,41.0,9,Q2
1970,2,BUENOS AIRES,246.0,41,Q2
1970,2,BUENOS AIRES,7.0,53,Q2
1970,2,BUENOS AIRES,250.0,355,Q2
1970,2,BUENOS AIRES,40.0,5582,Q2
1970,2,BUENOS AIRES,61.0,78,Q2
1970,2,BUENOS AIRES,200.0,8055,Q2
1970,2,BUENOS AIRES,102.0,2,Q2
1970,2,BUENOS AIRES,60.0,37539,Q2
1970,2,BUENOS AIRES,320.0,27,Q2
1970,2,BUENOS AIRES,12.0,19838,Q2
1970,2,BUENOS AIRES,30.0,782519,Q2
1970,2,BUENOS AIRES,6.0,76832,Q2
1970,2,BUENOS AIRES,600.0,16300,Q2
1970,2,BUENOS AIRES,25.0,42739,Q2
1970,2,BUENOS AIRES,0.0,125547,Q2
1970,2,BUENOS AIRES,80.0,9358,Q2
1970,2,BUENOS AIRES,90.0,3,Q2
1970,2,BUENOS AIRES,50.0,493790,Q2
1970,2,BUENOS AIRES,5.0,27135,Q2
1970,2,BUENOS AIRES,48.0,659,Q2
1970,2,BUENOS AIRES,240.0,938,Q2
1970,2,BUENOS AIRES,16.0,231,Q2
1970,2,BUENOS AIRES,1000.0,129855,Q2
1970,2,BUENOS AIRES,51.0,1,Q2
1970,2,BUENOS AIRES,160.0,1306,Q2
1970,2,BUENOS AIRES,800.0,564,Q2
1970,2,BUENOS AIRES,15.0,94642,Q2
1970,2,BUENOS AIRES,49.0,1,Q2
1970,2,BUENOS AIRES,300.0,1147130,Q2
1970,2,BUENOS AIRES,1.0,141,Q2
1970,2,BUENOS AIRES,150.0,388059,Q2
1970,2,BUENOS AIRES,14.0,149,Q2
1970,2,BUENOS AIRES,1.0,18423,Q2
1970,2,BUENOS AIRES,0.0,25048,Q2
1970,2,BUENOS AIRES,0.0,214,Q2
1970,2,BUENOS AIRES,20.0,128376,Q2
1970,2,BUENOS AIRES,100.0,910372,Q2
1970,2,BUENOS AIRES,0.0,4611,Q2
1970,2,BUENOS AIRES,7.0,11236,Q2
1970,2,BUENOS AIRES,36.0,4,Q2
1970,2,BUENOS AIRES,400.0,1094,Q2
1970,2,BUENOS AIRES,3.0,44415,Q2
1970,2,CABA,160.0,5,Q2
1970,2,CABA,7.0,7,Q2
1970,2,CABA,150.0,116134,Q2
1970,2,CABA,999.0,25,Q2
1970,2,CABA,9.0,3,Q2
1970,2,CABA,110.0,1,Q2
1970,2,CABA,1000.0,65689,Q2
1970,2,CABA,16.0,5,Q2
1970,2,CABA,400.0,3,Q2
1970,2,CABA,10.0,23421,Q2
1970,2,CABA,1.0,2815,Q2
1970,2,CABA,3.0,11975,Q2
1970,2,CABA,125.0,3,Q2
1970,2,CABA,21.0,1,Q2
1970,2,CABA,0.0,35,Q2
1970,2,CABA,40.0,238,Q2
1970,2,CABA,250.0,1442,Q2
1970,2,CABA,12.0,93,Q2
1970,2,CABA,55.0,1,Q2
1970,2,CABA,100.0,396858,Q2
1970,2,CABA,4.0,996,Q2
1970,2,CABA,25.0,269,Q2
1970,2,CABA,0.0,1307,Q2
1970,2,CABA,20.0,3718,Q2
1970,2,CABA,200.0,3302,Q2
1970,2,CABA,325.0,2,Q2
1970,2,CABA,5.0,3417,Q2
1970,2,CABA,70.0,3,Q2
1970,2,CABA,8.0,16865,Q2
1970,2,CABA,225.0,1,Q2
1970,2,CABA,75.0,711,Q2
1970,2,CABA,120.0,28,Q2
1970,2,CABA,50.0,64416,Q2
1970,2,CABA,66.0,1,Q2
1970,2,CABA,0.0,32,Q2
1970,2,CABA,2.0,240,Q2
1970,2,CABA,11.0,5,Q2
1970,2,CABA,35.0,24,Q2
1970,2,CABA,0.0,0,Q2
1970,2,CABA,15.0,29337,Q2
1970,2,CABA,500.0,77839,Q2
1970,2,CABA,80.0,13,Q2
1970,2,CABA,3.0,2342,Q2
1970,2,CABA,6.0,5569,Q2
1970,2,CABA,30.0,58419,Q2
1970,2,CABA,60.0,3890,Q2
1970,2,CABA,700.0,1,Q2
1970,2,CABA,600.0,437,Q2
1970,2,CABA,220.0,1,Q2
1970,2,CABA,0.0,451,Q2
1970,2,CABA,275.0,1,Q2
1970,2,CABA,300.0,571207,Q2
1970,2,CABA,800.0,1,Q2
1970,2,CATAMARCA,1000.0,33,Q2
1970,2,CATAMARCA,30.0,858,Q2
1970,2,CATAMARCA,15.0,1859,Q2
1970,2,CATAMARCA,3.0,1580,Q2
1970,2,CATAMARCA,600.0,1128,Q2
1970,2,CATAMARCA,12.0,8,Q2
1970,2,CATAMARCA,0.0,37,Q2
1970,2,CATAMARCA,200.0,42,Q2
1970,2,CATAMARCA,0.0,1,Q2
1970,2,CATAMARCA,4.0,1,Q2
