Año,Trimestre,Provincia,Mbps (Media de bajada)
2024,2024Q2,Buenos Aires,157.41
2024,2024Q2,Capital Federal,233.01
2024,2024Q2,Catamarca,97.38
2024,2024Q2,Chaco,107.76
2024,2024Q2,Chubut,21.67
2024,2024Q2,Córdoba,117.39
2024,2024Q2,Corrientes,104.26
2024,2024Q2,Entre Ríos,100.98
2024,2024Q2,Formosa,82.66
2024,2024Q2,Jujuy,49.87
2024,2024Q2,La Pampa,28.73
2024,2024Q2,La Rioja,64.24
2024,2024Q2,Mendoza,55.32
2024,2024Q2,Misiones,96.15
2024,2024Q2,Neuquén,97.04
2024,2024Q2,Río Negro,75.05
2024,2024Q2,Salta,87.03
2024,2024Q2,San Juan,32.17
2024,2024Q2,San Luis,181.61
2024,2024Q2,Santa Cruz,29.89
2024,2024Q2,Santa Fe,102.51
2024,2024Q2,Santiago Del Estero,48.95
2024,2024Q2,Tierra Del Fuego,22.09
2024,2024Q2,Tucumán,108.93
2024,2024Q1,Buenos Aires,159.13
2024,2024Q1,Capital Federal,229.94
2024,2024Q1,Catamarca,91.45
2024,2024Q1,Chaco,107.51
2024,2024Q1,Chubut,20.5
2024,2024Q1,Córdoba,114.89
2024,2024Q1,Corrientes,102.49
2024,2024Q1,Entre Ríos,101.36
2024,2024Q1,Formosa,83.8
2024,2024Q1,Jujuy,47.52
2024,2024Q1,La Pampa,26.55
2024,2024Q1,La Rioja,63.71
2024,2024Q1,Mendoza,51.85
2024,2024Q1,Misiones,94.98
2024,2024Q1,Neuquén,98.16
2024,2024Q1,Río Negro,75.0
2024,2024Q1,Salta,84.34
2024,2024Q1,San Juan,30.58
2024,2024Q1,San Luis,179.49
2024,2024Q1,Santa Cruz,31.6
2024,2024Q1,Santa Fe,100.2
2024,2024Q1,Santiago Del Estero,44.9
2024,2024Q1,Tierra Del Fuego,21.54
2024,2024Q1,Tucumán,103.36
2023,2023Q4,Buenos Aires,158.49
2023,2023Q4,Capital Federal,234.44
2023,2023Q4,Catamarca,89.4
2023,2023Q4,Chaco,107.14
2023,2023Q4,Chubut,20.29
2023,2023Q4,Córdoba,114.03
2023,2023Q4,Corrientes,100.9
2023,2023Q4,Entre Ríos,101.18
2023,2023Q4,Formosa,83.35
2023,2023Q4,Jujuy,46.2
2023,2023Q4,La Pampa,25.61
2023,2023Q4,La Rioja,64.18
2023,2023Q4,Mendoza,49.46
2023,2023Q4,Misiones,93.65
2023,2023Q4,Neuquén,99.63
2023,2023Q4,Río Negro,74.37
2023,2023Q4,Salta,83.04
2023,2023Q4,San Juan,24.78
2023,2023Q4,San Luis,174.59
2023,2023Q4,Santa Cruz,36.77
2023,2023Q4,Santa Fe,99.81
2023,2023Q4,Santiago Del Estero,44.22
2023,2023Q4,Tierra Del Fuego,17.92
2023,2023Q4,Tucumán,101.55
2023,2023Q3,Buenos Aires,146.84
2023,2023Q3,Capital Federal,218.13
2023,2023Q3,Catamarca,87.9
2023,2023Q3,Chaco,107.5
2023,2023Q3,Chubut,19.26
2023,2023Q3,Córdoba,111.5
2023,2023Q3,Corrientes,99.64
2023,2023Q3,Entre Ríos,96.26
2023,2023Q3,Formosa,80.29
2023,2023Q3,Jujuy,44.55
2023,2023Q3,La Pampa,24.21
2023,2023Q3,La Rioja,63.84
2023,2023Q3,Mendoza,46.96
2023,2023Q3,Misiones,91.49
2023,2023Q3,Neuquén,96.57
2023,2023Q3,Río Negro,70.93
2023,2023Q3,Salta,80.8
2023,2023Q3,San Juan,24.45
2023,2023Q3,San Luis,104.97
2023,2023Q3,Santa Cruz,15.67
2023,2023Q3,Santa Fe,97.39
2023,2023Q3,Santiago Del Estero,41.46
2023,2023Q3,Tierra Del Fuego,17.17
2023,2023Q3,Tucumán,98.85
2023,2023Q2,Buenos Aires,138.35
2023,2023Q2,Capital Federal,208.01
2023,2023Q2,Catamarca,86.13
2023,2023Q2,Chaco,105.45
2023,2023Q2,Chubut,18.58
