Tecnologia,Localidad,Accesos
ADSL,11 De Septiembre,6.0
ADSL,11 de Octubre,32.0
ADSL,20 De Junio,4.0
ADSL,25 de Mayo,755.0
ADSL,9 De Abril,54.0
ADSL,9 de Julio,4241.0
ADSL,Abra Grande,1.0
ADSL,Acassuso,130.0
ADSL,Acebal,16.0
ADSL,Acevedo,115.0
ADSL,Acheral,7.0
ADSL,Adelia María,91.0
ADSL,Adolfo Gonzales Chaves  (Est. Chaves),464.0
ADSL,Adrogué,86.0
ADSL,Aerolito,1.0
ADSL,Aeropuerto Internacional Ezeiza,169.0
ADSL,Agua de Oro,370.0
ADSL,Aguaray,532.0
ADSL,Aguas Verdes,28.0
ADSL,Aguilares,1052.0
ADSL,Aimogasta,60.0
ADSL,Alberdi Viejo,2.0
ADSL,Alberti   (Est. Andrés Vaccarezza),335.0
ADSL,Alcira (Est. Gigena),238.0
ADSL,Alcorta,162.0
ADSL,Aldao (Est. Casablanca),17.0
ADSL,Aldea Protestante,3.0
ADSL,Aldo Bonzi,1.0
ADSL,Alejandro Korn,14.0
ADSL,Alejandro Petión,102.0
ADSL,Alejandro Roca (Est. Alejandro),316.0
ADSL,Alfredo Demarchi  (Est. Facundo Quiroga),450.0
ADSL,Alhuampa,1.0
ADSL,Allen,1114.0
ADSL,Almafuerte,524.0
ADSL,Alpachiri,639.0
ADSL,Alta Gracia,1447.0
ADSL,Alto Alegre,140.0
ADSL,Alvear,395.0
ADSL,Amaná,1.0
ADSL,Amenábar,120.0
ADSL,América,565.0
ADSL,Andalgalá,579.0
ADSL,Angélica,251.0
ADSL,Anisacate,69.0
ADSL,Antonio Carboni,2.0
ADSL,Apóstoles,1153.0
ADSL,Arcadia,13.0
ADSL,Area De Promocion El Triángulo,101.0
ADSL,Arequito,31.0
ADSL,Arias,360.0
ADSL,Armstrong,280.0
ADSL,Arrecifes,773.0
ADSL,Arribeños,218.0
ADSL,Arroyito,267.0
ADSL,Arroyo Aguiar,91.0
ADSL,Arroyo Algodón,159.0
ADSL,Arroyo Cabral,2.0
ADSL,Arroyo Dulce,438.0
ADSL,Arroyo Seco,459.0
ADSL,Arrufo,140.0
ADSL,Arteaga,41.0
ADSL,Ascensión,1200.0
ADSL,Ascochinga,116.0
ADSL,Ataliva,9.0
ADSL,Avellaneda,903.0
ADSL,Avellaneda (Est. Ewald),2.0
ADSL,Avia Terai,50.0
ADSL,Ayacucho,1834.0
ADSL,Azul,1692.0
ADSL,Añatuya,6.0
ADSL,Bahía Blanca,3774.0
ADSL,Baigorrita,562.0
ADSL,Balcarce,1347.0
ADSL,Ballesteros,555.0
ADSL,Banfield,163.0
ADSL,Baradero,861.0
ADSL,Barrancas,1356.0
ADSL,Barranqueras,115.0
ADSL,Barrio El Peligro,213.0
ADSL,Barrio Guerrico,35.0
ADSL,Barrio Lomas de Tafí,113.0
ADSL,Barrio Los Olivos,190.0
ADSL,Barrio Los Pinares,223.0
ADSL,Barrio Mutual San Martín,13.0
ADSL,Basail,66.0
ADSL,Basavilbaso,485.0
ADSL,Batán,1313.0
ADSL,Bauer y Sigel,0.0
ADSL,Beccar,624.0
ADSL,Belen de Escobar,1195.0
ADSL,Bell Ville,589.0
ADSL,Bella Italia,14.0
ADSL,Bella Vista,1627.0
ADSL,Beltrán,69.0
ADSL,Benavídez,814.0
ADSL,Benito Juárez  (Est. Juárez),650.0
ADSL,Berazategui,247.0
ADSL,Berazategui Oeste,16.0
ADSL,Berisso,3116.0
ADSL,Bernal,12.0
ADSL,Bernal Oeste,48.0
ADSL,Bernasconi,37.0
ADSL,Berrotarán,252.0
ADSL,Bialet Massé,238.0
ADSL,Bigand,372.0
ADSL,Bombal,180.0
ADSL,Bonpland,26.0
ADSL,Boulogne Sur Mer,462.0
ADSL,Bouquet,406.0
ADSL,Bragado,500.0
ADSL,Brinkmann,125.0
ADSL,Bulnes,50.0
ADSL,Burzaco,39.0
ADSL,Bustinza,287.0
ADSL,Cacheuta,16.0
ADSL,Cafayate,264.0
ADSL,Cafferata,246.0
ADSL,Caimancito,148.0
ADSL,Calchaquí,332.0
ADSL,Camet,542.0
ADSL,Camilo Aldao,1042.0
ADSL,Campamento Vespucio,104.0
ADSL,Campana,604.0
ADSL,Campo Gallo,1.0
ADSL,Campo Grande,6.0
ADSL,Campo Largo,76.0
ADSL,Campo Quijano,125.0
ADSL,Campo Santo,91.0
ADSL,Canals,100.0
ADSL,Candelaria,500.0
ADSL,Canning,60.0
ADSL,Capilla del Monte,721.0
ADSL,Capilla del Señor  (Est. Capilla),294.0
ADSL,Capioví,205.0
ADSL,Capitán Bermúdez,2357.0
ADSL,Capitán General Bernardo O'Higgins,15.0
ADSL,Capitán Sarmiento,144.0
ADSL,Carahunco,1.0
ADSL,Carapachay,167.0
ADSL,Carcarañá,372.0
ADSL,Carhué,766.0
ADSL,Carlos Casares,1167.0
ADSL,Carlos Pellegrini,269.0
ADSL,Carlos Spegazzini,23.0
ADSL,Carlos Tejedor,12.0
ADSL,Carlos Tomás Sourigues,1.0
ADSL,Carmen de Areco,322.0
ADSL,Carmen de Patagones,852.0
ADSL,Carnerillo,66.0
ADSL,Carpinteria,149.0
ADSL,Carrizales (Est. Clarke),274.0
ADSL,Caseros,1019.0
ADSL,Casilda,1829.0
ADSL,Caspi Corral,1.0
ADSL,Castelar,6.0
ADSL,Castelli,52.0
ADSL,Catriel,202.0
ADSL,Caucete,871.0
ADSL,Cañada de Gómez,1103.0
ADSL,Cañada del Sauce,1.0
